"","cut.values","TP","FP","predict.time","Survival","AUC"
"1489",-1.4115076724386,0.40144551456003,0.228136486256403,180,0.91706204865739,0.660773315900373
"1490",-1.41013074563899,0.401091239326517,0.22790534209882,180,0.91706204865739,0.660773315900373
"1491",-1.40771744684551,0.400736611734163,0.227674230254969,180,0.91706204865739,0.660773315900373
"1492",-1.40614557641736,0.400381893937502,0.227443126683473,180,0.91706204865739,0.660773315900373
"1493",-1.40450776795735,0.400026914200148,0.227212047133743,180,0.91706204865739,0.660773315900373
"1494",-1.40446035757732,0.399671934462794,0.226980967584012,180,0.91706204865739,0.660773315900373
"1495",-1.40162348547705,0.399316600981502,0.226749920475036,180,0.91706204865739,0.660773315900373
"1496",-1.39768040114886,0.398962350185452,0.226518774076369,180,0.91706204865739,0.660773315900373
"1497",-1.39685647952008,0.398608099389402,0.226287627677703,180,0.91706204865739,0.660773315900373
"1498",-1.39459805637982,0.39825495409206,0.226056379897194,180,0.91706204865739,0.660773315900373
"1499",-1.39409380946103,0.397901279160701,0.225825180687771,180,0.91706204865739,0.660773315900373
"1500",-1.39217588845688,0.397547604229343,0.225593981478348,180,0.91706204865739,0.660773315900373
"1501",-1.38469088725316,0.397193641269727,0.225362808683099,180,0.91706204865739,0.660773315900373
"1502",-1.38451866223885,0.396839678310112,0.22513163588785,180,0.91706204865739,0.660773315900373
"1503",-1.38405064558137,0.396485538159535,0.224900479342232,180,0.91706204865739,0.660773315900373
"1504",-1.38398430239658,0.396131398008959,0.224669322796614,180,0.91706204865739,0.660773315900373
"1505",-1.38348595008701,0.395777257858382,0.224438166250996,180,0.91706204865739,0.660773315900373
"1506",-1.37978764852573,0.395424122932096,0.22420691751939,180,0.91706204865739,0.660773315900373
"1507",-1.37898653153772,0.395070988005809,0.223975668787784,180,0.91706204865739,0.660773315900373
"1508",-1.37888909729503,0.394717853079523,0.223744420056179,180,0.91706204865739,0.660773315900373
"1509",-1.37684766811375,0.394363630784926,0.223513271043733,180,0.91706204865739,0.660773315900373
"1510",-1.37613141007296,0.394009408490329,0.223282122031287,180,0.91706204865739,0.660773315900373
"1511",-1.3757780665071,0.393655186195732,0.223050973018841,180,0.91706204865739,0.660773315900373
"1512",-1.37515463165783,0.393300963901134,0.222819824006395,180,0.91706204865739,0.660773315900373
"1513",-1.3743399843119,0.392946564131651,0.222588691269618,180,0.91706204865739,0.660773315900373
"1514",-1.37360646364427,0.392591986705295,0.222357574825199,180,0.91706204865739,0.660773315900373
"1515",-1.37347802351922,0.39223740927894,0.22212645838078,180,0.91706204865739,0.660773315900373
"1516",-1.37336110996939,0.391882831852584,0.221895341936361,180,0.91706204865739,0.660773315900373
"1517",-1.37213023040874,0.391528122063234,0.22166423763054,180,0.91706204865739,0.660773315900373
"1518",-1.37201855314677,0.391173412273882,0.221433133324719,180,0.91706204865739,0.660773315900373
"1519",-1.37181892166692,0.390818702484531,0.221202029018899,180,0.91706204865739,0.660773315900373
"1520",-1.37103324147982,0.39046399269518,0.220970924713078,180,0.91706204865739,0.660773315900373
"1521",-1.37102541185225,0.390109282905829,0.220739820407257,180,0.91706204865739,0.660773315900373
"1522",-1.37070912425781,0.389754573116478,0.220508716101436,180,0.91706204865739,0.660773315900373
"1523",-1.3706611542,0.389399863327127,0.220277611795615,180,0.91706204865739,0.660773315900373
"1524",-1.37055685534603,0.389045153537776,0.220046507489794,180,0.91706204865739,0.660773315900373
"1525",-1.37052568070931,0.388690443748425,0.219815403183973,180,0.91706204865739,0.660773315900373
"1526",-1.37037213440846,0.388335555994758,0.219584315198705,180,0.91706204865739,0.660773315900373
"1527",-1.36905025604846,0.387980704296497,0.219353223906908,180,0.91706204865739,0.660773315900373
"1528",-1.36865011507228,0.387625843594489,0.219122133440816,180,0.91706204865739,0.660773315900373
"1529",-1.36515323659947,0.387270773075711,0.218891062216367,180,0.91706204865739,0.660773315900373
"1530",-1.36089563593295,0.386914914438395,0.218660063267814,180,0.91706204865739,0.660773315900373
"1531",-1.3605344664079,0.38655905580108,0.21842906431926,180,0.91706204865739,0.660773315900373
"1532",-1.36022733024138,0.386203197163765,0.218198065370706,180,0.91706204865739,0.660773315900373
"1533",-1.3587138887571,0.385847133428613,0.217967085231036,180,0.91706204865739,0.660773315900373
"1534",-1.35811787582478,0.385491069693463,0.217736105091366,180,0.91706204865739,0.660773315900373
"1535",-1.35688261023552,0.385136324898244,0.217505003995824,180,0.91706204865739,0.660773315900373
"1536",-1.35659333924863,0.384781580103026,0.217273902900282,180,0.91706204865739,0.660773315900373
"1537",-1.35518622915901,0.384426375728739,0.217042843951305,180,0.91706204865739,0.660773315900373
"1538",-1.35481599073656,0.384071171354451,0.216811785002327,180,0.91706204865739,0.660773315900373
"1539",-1.35090653011304,0.383715525440228,0.216580766545601,180,0.91706204865739,0.660773315900373
"1540",-1.34927446579665,0.383359340102052,0.216349797557766,180,0.91706204865739,0.660773315900373
"1541",-1.34872011209263,0.38300461116623,0.216118695007808,180,0.91706204865739,0.660773315900373
"1542",-1.34767668075131,0.382649882230408,0.21588759245785,180,0.91706204865739,0.660773315900373
"1543",-1.34690803178953,0.382295153294586,0.215656489907893,180,0.91706204865739,0.660773315900373
"1544",-1.34639751085836,0.381940424358765,0.215425387357935,180,0.91706204865739,0.660773315900373
"1545",-1.34476291356149,0.381585341792056,0.215194317238364,180,0.91706204865739,0.660773315900373
"1546",-1.34473713622435,0.381230259225348,0.214963247118793,180,0.91706204865739,0.660773315900373
"1547",-1.34425113736005,0.380874996922551,0.214732193482258,180,0.91706204865739,0.660773315900373
"1548",-1.34394628619527,0.380519554697503,0.214501156345833,180,0.91706204865739,0.660773315900373
"1549",-1.34352682829555,0.380163932363746,0.214270135726616,180,0.91706204865739,0.660773315900373
"1550",-1.34346428948951,0.37980831002999,0.214039115107399,180,0.91706204865739,0.660773315900373
"1551",-1.34268584042592,0.379452687696233,0.213808094488183,180,0.91706204865739,0.660773315900373
"1552",-1.34250653053324,0.379097065362477,0.213577073868966,180,0.91706204865739,0.660773315900373
"1553",-1.34147560861383,0.378742407355595,0.213345964814336,180,0.91706204865739,0.660773315900373
"1554",-1.34088061844253,0.378387569305047,0.21311487227095,180,0.91706204865739,0.660773315900373
"1555",-1.33747098686903,0.378031828224625,0.21288386254162,180,0.91706204865739,0.660773315900373
