"","cut.values","TP","FP","predict.time","Survival","AUC"
"1",-Inf,1,1,180,0.91706204865739,0.675800285178022
"2",-2,0.999454850187851,0.996894918606572,180,0.91706204865739,0.675800285178022
"3",-1,0.984700768526435,0.944591799946203,180,0.91706204865739,0.675800285178022
"4",0,0.928342703180384,0.772982371728986,180,0.91706204865739,0.675800285178022
"5",1,0.843033055478058,0.603134782309479,180,0.91706204865739,0.675800285178022
"6",2,0.67998972525505,0.410442447092438,180,0.91706204865739,0.675800285178022
"7",3,0.38323608340395,0.184595920303661,180,0.91706204865739,0.675800285178022
"8",4,0.156967821501844,0.0560676593234612,180,0.91706204865739,0.675800285178022
"9",5,0.0474465828217831,0.0131628556023149,180,0.91706204865739,0.675800285178022
"10",6,0.0102191308055805,0.00225297768528399,180,0.91706204865739,0.675800285178022
"11",7,0.00161585090280635,0.00038318914929425,180,0.91706204865739,0.675800285178022
"12",8,0,0,180,0.91706204865739,0.675800285178022
