"","cut.values","TP","FP","predict.time","Survival","AUC"
"1",-Inf,1,1,180,0.91706204865739,0.538987766393088
"2",0,0.705505562946821,0.661030122256994,180,0.91706204865739,0.538987766393088
"3",1,0.30418490470176,0.238294774488734,180,0.91706204865739,0.538987766393088
"4",2,0.0642789700149446,0.0486585277294207,180,0.91706204865739,0.538987766393088
"5",3,0.0129490265226,0.0093535006693436,180,0.91706204865739,0.538987766393088
"6",4,0.000457658381765993,0.000485330170019171,180,0.91706204865739,0.538987766393088
"7",5,0,0,180,0.91706204865739,0.538987766393088
