,TPR (sensitivity),FNR,FPR,TNR (specificity),Youden's J,PPV,NPV,AUC
log10.max.VAF.,0.8293849931508829,0.17061500684911712,0.563251252316229,0.43674874768377103,0.266133740834654,0.5955503426328633,0.7190892515798315,0.6607733159003729
log10.cfDNA.concentration.,0.38885857076676295,0.6111414292332371,0.35169521455975605,0.648304785440244,0.03716335620700684,0.525091598303438,0.5147538480699002,0.528689905019629
KHORANA.SCORE,0.833946626902972,0.16605337309702795,0.6480425617747211,0.3519574382252789,0.18590406512825108,0.5627211273025967,0.6794403331599399,0.578230454639187
RAM_SCORE,0.7716878168994059,0.2283121831005941,0.59323237159563,0.40676762840437,0.17845544530377588,0.5653721172886091,0.640498439779471,0.6104839455145941
